size,Triton,Torch
4096.000000,5.647059,8.000000
8192.000000,13.714286,15.999999
16384.000000,27.428571,31.999999
32768.000000,63.999998,54.857142
65536.000000,109.714284,109.714284
131072.000000,170.666661,170.666661
262144.000000,307.200008,307.200008
524288.000000,438.857137,438.857137
1048576.000000,558.545450,558.545450
2097152.000000,646.736871,646.736871
4194304.000000,702.171410,712.347810
8388608.000000,762.046555,762.046555
16777216.000000,792.774204,789.590348
33554432.000000,807.425031,802.481623
67108864.000000,814.111783,808.670426
134217728.000000,817.496889,812.429770
